Performer,Song,spotify_genre
Jerry Butler & Brenda Lee Eager,(They Long To Be) Close To You,"['beach music', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']"
Darlene Love,(Today I Met) The Boy I'm Gonna Marry,"['adult standards', 'brill building pop', 'motown']"
Carpenters,(Want You) Back In My Life Again,"['adult standards', 'brill building pop', 'mellow gold', 'soft rock']"
Blues Magoos,(We Ain't Got) Nothin' Yet,"['bubblegum pop', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
The Intruders,(We'll Be) United,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']"
Martha Reeves & The Vandellas,(We've Got) Honey Love,"['adult standards', 'brill building pop', 'classic girl group', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
Pat Boone,(Welcome) New Lovers,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
Ral Donner,(What A Sad Way) To Love Someone,[]
Art Garfunkel With James Taylor & Paul Simon,(What A) Wonderful World,
Naked Eyes,(what) In The Name Of Love,"['dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
The Chicago Loop,(When She Needs Good Lovin') She Comes To Me,[]
Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,"['dance pop', 'dancehall', 'pop', 'pop rap']"
Andy Williams,(Where Do I Begin) Love Story,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']"
The Kinks,(Wish I Could Fly Like) Superman,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']"
Lloyd Price and His Orchestra,(You Better) Know What You're Doin',[]
Night Ranger,(You Can Still) Rock In America,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
Chuck Jackson,(You Can't Let The Boy Overpower) The Man In You,"['classic soul', 'motown', 'northern soul', 'rhythm and blues', 'southern soul']"
The Miracles,(You Can't Let The Boy Overpower) The Man In You,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']"
Gary Lewis And The Playboys,(You Don't Have To) Paint Me A Picture,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll']"
Nancy Wilson,(You Don't Know) How Glad I Am,"['adult standards', 'cool jazz', 'jazz', 'lounge', 'soul', 'vocal jazz']"
Britney Spears,(You Drive Me) Crazy,"['dance pop', 'pop', 'post-teen pop']"
Peter Tosh with Mick Jagger,(You Got To Walk And) Don't Look Back,
Beastie Boys,(You Gotta) Fight For Your Right (To Party!),"['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap']"
Joe Simon,(You Keep Me) Hangin' On,"['classic soul', 'motown', 'philly soul', 'soul', 'southern soul']"
Mary J. Blige,"(You Make Me Feel Like) A Natural Woman (From ""New York Undercover"")","['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
The McCoys,(You Make Me Feel) So Good,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']"
Bon Jovi,(You Want To) Make A Memory,"['glam metal', 'rock']"
Jackie Wilson,(You Were Made For) All My Love,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
Frankie Valli,(You're Gonna) Hurt Yourself,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'motown', 'northern soul', 'rock-and-roll']"
Seduction,(You're My One And Only) True Love,['freestyle']
Donny & Marie Osmond,(You're My) Soul And Inspiration,"['chicago soul', 'classic soul', 'funk', 'motown', 'neo soul', 'quiet storm', 'soul', 'southern soul', 'vocal jazz']"
The Righteous Brothers,(You're My) Soul And Inspiration,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'motown', 'rock-and-roll']"
Stephanie Mills,(You're Puttin') A Rush On Me,"['disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
Joni Mitchell,"(you're So Square) Baby, I Don't Care","['canadian folk', 'canadian singer-songwriter', 'folk', 'folk rock', 'lilith', 'mellow gold', 'rock', 'singer-songwriter', 'traditional folk']"
Elvis Presley With The Jordanaires,(You're the) Devil In Disguise,
Paul Anka with Odia Coates,(You're) Having My Baby,
Chairman Of The Board,(You've Got Me) Dangling On A String,[]
Marv Johnson,(You've Got To) Move Two Mountains,"['motown', 'rhythm and blues']"
Mitch Ryder,(You've Got) Personality And Chantilly Lace,[]
Rita Coolidge,(your Love Has Lifted Me) Higher And Higher,"['adult standards', 'bubblegum pop', 'classic uk pop', 'country rock', 'mellow gold', 'native american', 'soft rock']"
